"Number of Trips by Irish Residents (Thousand) by Quarter, Domestic or",,
Outbound and Type of Accommodation Used,,
,,
 ,Domestic,Outbound
 ,All types of accommodation,All types of accommodation
2000Q1,1169,716
2000Q2,1185,1028
2000Q3,1759,1213
2000Q4,1365,811
2001Q1,1235,764
2001Q2,1373,1115
2001Q3,2128,1380
2001Q4,1570,903
2002Q1,1360,884
2002Q2,1446,1177
2002Q3,2070,1539
2002Q4,1575,997
2003Q1,1447,954
2003Q2,1509,1330
2003Q3,2087,1595
2003Q4,1614,1095
2004Q1,1585,1069
2004Q2,1533,1425
2004Q3,2167,1751
2004Q4,1715,1220
2005Q1,1490,1212
2005Q2,1705,1661
2005Q3,2300,1961
2005Q4,1678,1355
2006Q1,1457,1397
2006Q2,1721,1850
2006Q3,2301,2174
2006Q4,2301,2174
2007Q1,1579,1580
2007Q2,1983,2073
2007Q3,2448,2387
2007Q4,1932,1790
2008Q1,1851,1800
2008Q2,1867,2060
2008Q3,2544,2471
2008Q4,2077,1710
2009Q1,1760,1597
2009Q2,2042,1927
2009Q3,2512,2232
2009Q4,2026,1536
2012Q1,1602,1310
2012Q2,1952,1823
2012Q3,2950,2062
2012Q4,1787,1428
2013Q1,1514,1299
2013Q2,2048,1813
2013Q3,3039,2098
2013Q4,1812,1365
2014Q1,1719,1163
2014Q2,2165,1839
2014Q3,3093,2153
2014Q4,2013,1522
2015Q1,1731,1350
2015Q2,2181,1926
2015Q3,3187,2218
2015Q4,2026,1600
2016Q1,2088,1522
2016Q2,2055,2002
2016Q3,3175,2321
2016Q4,2041,1799
2017Q1,1908,1607
2017Q2,2363,2162
2017Q3,3033,2572
2017Q4,2322,1830
,,
"From Quarter 1 2012 onwards, there is a break in the series relating ",,
to Domestic and Outbound Travel due to changes in the weighting ,,
methodology. ,,
